depth,mean_yrsBP,sd_age
0,-59,5
0.9,-58.47,6.07
1.8,-57.93,7.07
2.8,-57.4,7.6
3.7,-56.86,8.14
4.6,-56.33,8.67
5.5,-55.79,9.21
6.4,-55.26,9.74
7.4,-54.72,10.28
8.3,-54.19,10.81
9.2,-54,11.35
10.1,-54,11.88
11,-53.16,12
12,-52.09,12
12.9,-51.51,12.49
13.8,-51,13.02
14.7,-51,13.56
15.6,-50.91,14
16.6,-50.37,14
17.5,-49.84,14.16
18.4,-49.3,14.7
19.3,-48.77,15.23
20.2,-48.23,15.77
21.1,-47.7,16
22.1,-47.16,16
23,-46.26,16.37
23.9,-45.19,16.91
24.8,-44.56,17
25.7,-44.02,17
26.7,-43.49,17.51
27.6,-42.95,18
28.5,-42.42,18
29.4,-41.88,18.12
30.3,-41.35,18.65
31.3,-40.82,19
32.2,-40.28,19
33.1,-39.75,19.25
34,-39.21,19.79
34.9,-38.68,20
35.9,-38.14,20
36.8,-37.61,20.39
37.7,-37.07,20.93
38.6,-37,21
39.5,-37,21
40.5,-35.93,21
41.4,-34.93,21.07
42.3,-34.4,21.6
43.2,-33.86,22
44.1,-33.33,22
45,-32.79,22.21
46,-32.26,22.74
46.9,-31.72,23
47.8,-31.19,23
48.7,-30.65,23
49.6,-30.12,23
50.6,-29.58,23.42
51.5,-29.05,23.95
52.4,-28.51,24
53.3,-27.98,24
54.2,-27.44,24
55.2,-26.91,24.09
56.1,-26.37,24.63
57,-25.84,25
57.9,-25.3,25
58.8,-24.77,25
59.8,-24.24,25
60.7,-23.7,25.3
61.6,-23.17,25.83
62.5,-22.63,26
63.4,-22.1,26
64.4,-21.56,26
65.3,-21.03,26
66.2,-20.49,26.51
67.1,-19.96,27
68,-19.42,27
68.9,-18.89,27
69.9,-18.35,27
70.8,-17.82,27.18
71.7,-17.28,27.72
72.6,-16.75,28
73.5,-16.21,28
74.5,-15.68,28
75.4,-15.14,28
76.3,-14.61,28
77.2,-14.07,28
78.1,-13.54,28.46
79.1,-13,29
80,-12.47,29
80.9,-11.93,29
81.8,-11.4,29
82.7,-10.86,29.14
83.7,-10.33,29.67
84.6,-9.79,30
85.5,-9.26,30
86.4,-8.72,30
87.3,-8.19,30
88.3,-7.65,30
89.2,-7.12,30
90.1,-6.59,30.41
91,-6.05,30.95
91.9,-5.52,31
92.9,-4.98,31
93.8,-4.45,31
94.7,-3.91,31
95.6,-3.38,31
96.5,-2.84,31.16
97.4,-2.31,31.69
98.4,-1.77,32
99.3,-1.24,32
100.2,-0.7,32
101.1,-0.17,32
102,0.37,32
103,0.9,32
103.9,1.44,32
104.8,1.97,32
105.7,2.51,32.51
106.6,3.04,33
107.6,3.58,33
108.5,4.11,33
109.4,4.65,33
110.3,5.18,33
111.2,5.72,33
112.2,6.25,33.25
113.1,6.79,33.79
114,7.32,34
114.9,7.86,34
115.8,8.39,34
116.8,8.93,34
117.7,9.46,34
118.6,10,34
119.5,10.53,34
120.4,11.06,34.06
121.3,11.6,34.6
122.3,12.13,35
123.2,12.67,35
124.1,13.2,35
125,13.74,35
125.9,14.27,35
126.9,14.81,35
127.8,15.34,35
128.7,15.88,35
129.6,16.41,35.41
130.5,16.95,35.95
131.5,17.48,36
132.4,18.02,36
133.3,18.55,36
134.2,19.09,36
135.1,19.62,36
136.1,20.16,36
137,20.69,36
137.9,21.23,36.23
138.8,21.76,36.76
139.7,22.3,37
140.7,22.83,37
141.6,23.37,37
142.5,23.9,37
143.4,24.44,37
144.3,24.97,37
145.2,25.51,37
146.2,26.04,37.04
147.1,26.58,37.58
148,27.11,38
148.9,27.64,38
149.8,28.18,38
150.8,28.71,38
151.7,29.25,38
152.6,29.78,38
153.5,30.32,38
154.4,30.85,38
155.4,31.39,38
156.3,31.92,38
157.2,32.46,38.46
158.1,32.99,38.99
159,33.53,39
160,34.06,39
160.9,34.6,39
161.8,35.13,39
162.7,35.67,39
163.6,36.2,39
164.6,36.74,39
165.5,37.27,39
166.4,37.81,39
167.3,38.34,39.34
168.2,38.88,39.88
169.1,39.41,40
170.1,39.95,40
171,40.48,40
171.9,41.02,40
172.8,41.55,40
173.7,42.09,40
174.7,42.62,40
175.6,43.16,40
176.5,43.69,40
177.4,44.23,40
178.3,44.76,40
179.3,45.29,40.29
180.2,45.83,40.83
181.1,46.36,41
182,46.9,41
182.9,47.43,41
183.9,47.97,41
184.8,48.5,41
185.7,49.04,41
186.6,49.57,41
187.5,50.11,41
188.5,50.64,41
189.4,51.18,41
190.3,51.71,41
191.2,52.25,41.25
192.1,52.78,41.78
193.1,53.32,42
194,53.85,42
194.9,54.39,42
195.8,54.92,42
196.7,55.46,42
197.6,55.99,42
198.6,56.53,42
199.5,57.06,42
200.4,57.6,42
201.3,58.13,42
202.2,58.67,42
203.2,59.2,42.2
204.1,59.74,42.74
205,60.27,43
205.9,60.81,43
206.8,61.34,43
207.8,61.87,43
208.7,62.41,43
209.6,62.94,43
210.5,63.48,43
211.4,64.01,43
212.4,64.55,43
213.3,65.08,43
214.2,65.62,43
215.1,66.15,43
216,66.69,43
217,67.22,43.22
217.9,67.76,43.76
218.8,68.29,44
219.7,68.83,44
220.6,69.36,44
221.5,69.9,44
222.5,70.43,44
223.4,70.97,44
224.3,71.5,44
225.2,72.04,44
226.1,72.57,44
227.1,73.11,44
228,73.64,44
228.9,74.18,44
229.8,74.71,44
230.7,75.25,44.25
231.7,75.78,44.78
232.6,76.32,45
233.5,76.85,45
234.4,77.39,45
235.3,77.92,45
236.3,78.46,45
237.2,78.99,45
238.1,79.52,45
239,80.06,45
239.9,80.59,45
240.9,81.13,45
241.8,81.66,45
242.7,82.2,45
243.6,82.73,45
244.5,83.27,45
245.4,83.8,45
246.4,84.34,45.34
247.3,84.87,45.87
248.2,85.41,46
249.1,85.94,46
250,86.48,46
251,87.01,46
251.9,87.55,46
252.8,88.08,46
253.7,88.62,46
254.6,89.15,46
255.6,89.69,46
256.5,90.22,46
257.4,90.76,46
258.3,91.29,46
259.2,91.83,46
260.2,92.36,46
261.1,92.9,46
262,93.43,46
262.9,93.97,46
263.8,94.5,46.5
264.8,95.04,47
265.7,95.57,47
266.6,96.11,47
267.5,96.64,47
